Ensembl_ID	6221d7ba-de98-418c-a341-2a6cbc3ccf23
ENSG00000000003.13	10.90839262077375
ENSG00000000005.5	2.0
ENSG00000000419.11	8.867278739709661
ENSG00000000457.12	8.39231742277876
ENSG00000000460.15	6.266786540694901
ENSG00000000938.11	8.353146825498083
ENSG00000000971.14	14.860456558781456
ENSG00000001036.12	10.177419537989236
ENSG00000001084.9	11.12347479824414
ENSG00000001167.13	8.31741261376487
ENSG00000001460.16	6.087462841250339
ENSG00000001461.15	7.614709844115208
ENSG00000001497.15	9.271463027904375
ENSG00000001561.6	7.491853096329675
ENSG00000001617.10	8.169925001442312
ENSG00000001626.13	6.584962500721156
ENSG00000001629.8	8.710806433699352
ENSG00000001630.14	7.60733031374961
ENSG00000001631.13	8.447083226209653
ENSG00000002016.15	6.357552004618084
ENSG00000002079.11	1.584962500721156
ENSG00000002330.12	9.826548487290914
ENSG00000002549.11	11.754887502163468
ENSG00000002586.16	12.163649676015824
ENSG00000002587.8	6.087462841250339
ENSG00000002726.18	9.337621901992508
ENSG00000002745.11	1.0
ENSG00000002746.13	2.807354922057604
ENSG00000002822.14	9.29232163280204
ENSG00000002834.16	11.985130373466898
ENSG00000002919.13	8.588714635582264
ENSG00000002933.6	14.502707514164372
ENSG00000003056.6	9.622051819456376
ENSG00000003096.12	6.303780748177103
ENSG00000003137.7	5.807354922057604
ENSG00000003147.16	8.45532722030456
ENSG00000003249.12	8.139551352398794
ENSG00000003393.13	9.426264754702098
ENSG00000003400.13	8.247927513443585
ENSG00000003402.18	10.915879378835774
ENSG00000003436.13	12.5262546938286
ENSG00000003509.14	7.7481928495894605
ENSG00000003756.15	10.067434360756522
ENSG00000003987.12	4.906890595608519
ENSG00000003989.15	13.140510272368221
ENSG00000004059.9	11.085472459181283
ENSG00000004139.12	6.189824558880018
ENSG00000004142.10	12.274960472140602
ENSG00000004399.11	10.935165049603695
ENSG00000004455.15	11.07347215397646
ENSG00000004468.11	7.098032082960526
ENSG00000004478.7	10.824163209744158
ENSG00000004487.14	9.346513733165635
ENSG00000004534.13	9.887220615468385
ENSG00000004660.13	6.169925001442312
ENSG00000004700.14	7.584962500721156
ENSG00000004766.14	7.774787059601174
ENSG00000004776.10	9.531381460516313
ENSG00000004777.17	6.832890014164741
ENSG00000004779.8	10.020979938904212
ENSG00000004799.7	11.217351905270334
ENSG00000004809.12	1.0
ENSG00000004838.12	3.0
ENSG00000004846.15	0.0
ENSG00000004848.6	0.0
ENSG00000004864.12	11.62662165235837
ENSG00000004866.17	10.00842862207058
ENSG00000004897.10	9.283088353024002
ENSG00000004939.12	0.0
ENSG00000004948.12	0.0
ENSG00000004961.13	8.426264754702098
ENSG00000004975.10	8.383704292474052
ENSG00000005001.8	4.807354922057604
ENSG00000005007.11	10.907641803665527
ENSG00000005020.11	8.727920454563199
ENSG00000005022.5	12.389900172773064
ENSG00000005059.14	6.285402218862249
ENSG00000005073.5	1.0
ENSG00000005075.14	9.622051819456376
ENSG00000005100.11	8.164906926675688
ENSG00000005102.11	3.4594316186372973
ENSG00000005108.14	6.584962500721156
ENSG00000005156.10	8.219168520462162
ENSG00000005175.8	8.224001674198105
ENSG00000005187.10	10.570804437724497
ENSG00000005189.18	6.0
ENSG00000005194.13	8.870364719583405
ENSG00000005206.15	9.49585502688717
ENSG00000005238.18	8.417852514885897
ENSG00000005243.8	9.266786540694902
ENSG00000005249.11	7.108524456778169
ENSG00000005302.16	8.326429487122303
ENSG00000005339.11	10.366322214245816
ENSG00000005379.14	7.7414669864011465
ENSG00000005381.7	4.754887502163468
ENSG00000005421.7	13.915599325444447
ENSG00000005436.12	8.758223214726724
ENSG00000005448.15	6.285402218862249
ENSG00000005469.10	9.499845887083206
ENSG00000005471.14	11.693051295397
__no_feature	20.280956495014415
__ambiguous	20.244112932442565
__too_low_aQual	0.0
__not_aligned	0.0
__alignment_not_unique	23.11372929150709
